,price
23602,110000.0
47330,120000.0
27696,38100.0
16840,230000.0
54430,149000.0
13935,240000.0
39608,163000.0
775,378000.0
45045,57000.0
10677,145000.0
12133,90000.0
24202,74000.0
4207,230000.0
35801,166500.0
11386,283700.0
52,95000.0
57080,98000.0
31377,259000.0
51894,100000.0
16896,270000.0
14795,169000.0
15981,83000.0
55676,109000.0
44629,110000.0
19493,65000.0
30966,194000.0
47550,256000.0
37648,189000.0
29653,227032.0
7717,57900.0
1852,105000.0
41092,75000.0
6349,184000.0
26410,95000.0
29449,235000.0
56262,89000.0
17865,44900.0
20573,167000.0
33820,99000.0
55810,280000.0
19726,55000.0
43466,138000.0
38244,200000.0
36949,380000.0
19438,90000.0
40882,86000.0
37110,165000.0
13214,90000.0
50237,265000.0
53612,219000.0
25431,240000.0
50852,110000.0
175,155000.0
14082,145000.0
7872,64900.0
57001,112000.0
13828,129000.0
1006,155000.0
55678,65000.0
45645,98000.0
13494,280000.0
24301,93000.0
14094,185000.0
51586,99900.0
29493,74000.0
26684,85000.0
53,99900.0
43555,229000.0
29719,262260.0
33563,149000.0
39420,110000.0
39133,299000.0
3484,206400.0
8550,139000.0
42795,245000.0
426,190000.0
13269,250000.0
34765,125000.0
53586,150000.0
47950,120000.0
48668,169000.0
2226,262000.0
22070,87000.0
7368,120000.0
48695,75000.0
42159,289000.0
24487,79000.0
7726,61000.0
49815,130001.0
35805,193900.0
4699,99000.0
15042,215000.0
12080,69000.0
13303,78000.0
12063,142000.0
14200,98000.0
57490,390000.0
13900,395000.0
26955,79000.0
23417,64000.0
27003,115000.0
36285,205000.0
14338,110000.0
31787,390000.0
22303,70000.0
38963,210000.0
18546,80000.0
48392,68000.0
30405,78000.0
22522,66000.0
27880,145000.0
4159,270000.0
28352,220000.0
4428,105500.0
43871,99000.0
22806,90000.0
14850,145000.0
18425,125000.0
39713,89000.0
14216,195000.0
16086,125000.0
6331,45000.0
18746,49900.0
9269,73000.0
34284,215000.0
52265,380000.0
30431,272107.0
38151,117000.0
2980,245000.0
34601,170000.0
13955,103230.0
56226,159000.0
33652,65000.0
9701,120000.0
4067,125000.0
14374,97500.0
1148,73500.0
10704,120000.0
16651,158000.0
29932,98000.0
6878,165000.0
34364,98000.0
42790,129000.0
22387,75000.0
21405,120000.0
47681,169000.0
28581,195000.0
44328,87619.04761904762
30307,179000.0
36977,69000.0
32379,308825.0
29891,169000.0
15188,279000.0
18483,129900.0
5228,60000.0
22081,155000.0
14385,115000.0
44954,41000.0
8740,310000.0
53933,230000.0
30840,176000.0
17309,105000.0
54906,287000.0
29960,109000.0
39906,85000.0
39495,279000.0
41173,120000.0
18348,161400.0
56931,110000.0
42104,79000.0
22883,52000.0
50769,134900.0
1641,70000.0
41371,179000.0
7532,123000.0
33171,185000.0
47736,139000.0
48003,129000.0
40029,140000.0
11751,80000.0
9130,84000.0
163,185000.0
41511,139000.0
36116,189000.0
24492,209000.0
52779,150000.0
50873,320000.0
11368,110450.0
55086,265000.0
1862,60000.0
36683,168500.0
622,130000.0
42513,215000.0
53868,89000.0
13465,249000.0
57674,99900.0
48924,195000.0
55141,139000.0
22609,99000.0
7051,78000.0
22816,110000.0
49539,103721.0
23603,127500.0
40413,79000.0
